district,rating_score,accuracry_review,cleanliness_review,checkin_review,communication_review,location_review,value_score,host_response_rate_float,district,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,bathrooms,bath_text,other_bath,Entirehome/apt
District 15,5.0,5.0,4.93,5.0,5.0,4.89,4.94,1.0,District 15,Entire home/apt,10,2 baths,3.0,5.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Single level home"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""BBQ grill"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed"", ""Shower gel""]",$250.00,2,1125,2,baths,0,0
District 6,4.9,5.0,5.0,5.0,5.0,4.9,4.7,1.0,District 6,Entire home/apt,8,3 baths,3.0,3.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Room-darkening shades"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$499.00,2,1124,3,baths,0,0
District 21,4.93,4.99,4.98,5.0,4.99,4.51,4.82,0.94,District 21,Entire home/apt,6,2 baths,3.0,3.0,"[""Wifi"", ""Bathroom essentials"", ""Pets allowed"", ""Heating"", ""Full kitchen"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Carbon monoxide alarm"", ""Self check-in"", ""Bathtub"", ""Hair dryer"", ""Iron"", ""Dryer"", ""Room-darkening shades"", ""Free parking on premises"", ""Washer"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Bedroom comforts"", ""Smoke alarm"", ""Backyard""]",$291.00,1,30,2,baths,0,0
District 2,4.47,4.56,4.53,4.81,4.75,4.5,4.75,0.9,District 2,Entire home/apt,10,2 baths,3.0,5.0,"[""Microwave"", ""Outlet covers"", ""Wifi"", ""Body soap"", ""Essentials"", ""Extra pillows and blankets"", ""Indoor fireplace"", ""Hangers"", ""Refrigerator"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Baby safety gates"", ""Cooking basics"", ""Game console"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Mini fridge"", ""Cable TV"", ""Bathtub"", ""Gym"", ""Pool"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Room-darkening shades"", ""Bluetooth sound system"", ""BBQ grill"", ""Portable fans"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Ceiling fan"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smart lock"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed"", ""Shower gel""]",$229.00,3,30,2,baths,0,0
District 19,4.91,4.95,4.88,4.98,4.94,4.97,4.83,1.0,District 19,Entire home/apt,2,1 bath,1.0,1.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""Kitchen"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Elevator"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$224.00,1,180,1,bath,0,0
District 19,4.92,4.98,4.94,5.0,4.97,5.0,4.87,1.0,District 19,Entire home/apt,4,1 bath,1.0,1.0,"[""Dryer"", ""TV"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Dishwasher"", ""Bedroom comforts"", ""Self check-in"", ""Bathroom essentials"", ""Elevator"", ""Fire extinguisher"", ""Smoke alarm"", ""Heating"", ""Full kitchen"", ""Washer"", ""Hair dryer"", ""Iron""]",$275.00,1,180,1,bath,0,0
District 19,4.95,4.95,4.92,4.97,4.95,5.0,4.9,1.0,District 19,Entire home/apt,4,1.5 baths,1.0,1.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""Kitchen"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Elevator"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$261.00,1,180,1,baths,0,0
District 19,4.96,4.97,4.93,4.99,5.0,4.99,4.91,1.0,District 19,Entire home/apt,4,1.5 baths,1.0,1.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""First aid kit"", ""Kitchen"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Elevator"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$279.00,1,180,1,baths,0,0
District 19,4.94,4.96,4.91,4.94,4.97,4.99,4.8,1.0,District 19,Entire home/apt,6,2 baths,2.0,2.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""Kitchen"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Elevator"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$402.00,1,180,2,baths,0,0
District 17,4.91,4.97,4.9,4.96,4.98,4.94,4.91,1.0,District 17,Entire home/apt,2,1 bath,1.0,1.0,"[""Free street parking"", ""TV"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Bedroom comforts"", ""Kitchen"", ""Free parking on premises"", ""Self check-in"", ""Bathroom essentials"", ""Smoke alarm"", ""Backyard"", ""Heating"", ""Fire extinguisher"", ""Hair dryer"", ""Iron""]",$101.00,2,1125,1,bath,0,0
District 7,4.96,4.98,4.98,4.97,4.99,4.93,4.92,1.0,District 7,Entire home/apt,4,1 bath,2.0,2.0,"[""Microwave"", ""Outlet covers"", ""Wifi"", ""Freezer"", ""Outdoor dining area"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Lockbox"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Baby safety gates"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Dove conditioner"", ""TV with standard cable"", ""Clothing storage: closet"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Babysitter recommendations"", ""Iron"", ""Private patio or balcony"", ""Portable fans"", ""Pack \u2019n play/Travel crib"", ""Cleaning products"", ""Dove body soap"", ""First aid kit"", ""Kitchen"", ""Private fenced garden or backyard"", ""Free parking on premises"", ""Shampoo"", ""Hot water"", ""Ceiling fan"", ""Dining table"", ""Outdoor furniture"", ""Laundromat nearby"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Hot water kettle"", ""Wine glasses"", ""Smoke alarm"", ""High chair"", ""Long term stays allowed""]",$188.00,2,1125,1,bath,0,0
District 10,4.92,4.96,4.95,4.99,4.99,4.86,4.94,1.0,District 10,Private room,2,1 private bath,1.0,1.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Lock on bedroom door"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Fire extinguisher"", ""Hair dryer"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Dishes and silverware"", ""Dedicated workspace"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$56.00,1,28,1,private,bath,1
District 17,4.85,4.91,4.91,4.97,4.96,4.86,4.82,1.0,District 17,Entire home/apt,12,4 baths,4.0,19.0,"[""Microwave"", ""Wifi"", ""Pocket wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""Kitchen"", ""Free parking on premises"", ""Ethernet connection"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smart lock"", ""Smoke alarm"", ""Long term stays allowed""]",$250.00,2,112,4,baths,0,0
District 7,4.92,4.97,4.88,4.98,4.99,4.88,4.93,1.0,District 7,Private room,6,1 private bath,1.0,3.0,"[""Microwave"", ""Wifi"", ""Lock on bedroom door"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Washer"", ""Dishes and silverware"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$80.00,2,1125,1,private,bath,1
District 5,4.95,4.99,4.92,4.95,4.98,4.79,4.93,1.0,District 5,Entire home/apt,4,1 bath,1.0,1.0,"[""Dryer"", ""TV"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Bedroom comforts"", ""Kitchen"", ""Free parking on premises"", ""Self check-in"", ""Bathroom essentials"", ""Fire extinguisher"", ""Smoke alarm"", ""Heating"", ""Washer"", ""Hair dryer"", ""Iron""]",$141.00,2,31,1,bath,0,0
District 17,4.84,4.89,4.84,4.89,4.91,4.8,4.86,0.96,District 17,Entire home/apt,6,1 bath,2.0,3.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Lockbox"", ""Private entrance"", ""Single level home"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""BBQ grill"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Ethernet connection"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$97.00,2,1125,1,bath,0,0
District 6,4.92,4.97,4.96,4.97,5.0,4.92,4.86,1.0,District 6,Entire home/apt,5,2 baths,2.0,2.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Single level home"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Children\u2019s books and toys"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$228.00,2,1124,2,baths,0,0
District 18,4.83,4.86,4.88,4.94,4.95,4.89,4.73,1.0,District 18,Entire home/apt,4,2.5 baths,2.0,2.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Breakfast"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smart lock"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$149.00,2,365,2,baths,0,0
District 30,4.44,4.56,4.27,4.86,4.82,4.67,4.55,1.0,District 30,Entire home/apt,8,1 bath,2.0,4.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""Kitchen"", ""Free parking on premises"", ""Ethernet connection"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$81.00,2,365,1,bath,0,0
District 24,4.97,4.98,5.0,4.92,4.96,4.89,4.87,1.0,District 24,Entire home/apt,4,1 bath,1.0,2.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Freezer"", ""Body soap"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Private entrance"", ""Heating"", ""Stove"", ""Free street parking"", ""Baby safety gates"", ""TV"", ""Cooking basics"", ""Cleaning before checkout"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Room-darkening shades"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Private fenced garden or backyard"", ""First aid kit"", ""Cleaning products"", ""Kitchen"", ""Pour-over coffee"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Ceiling fan"", ""Outdoor furniture"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Conditioner"", ""Clothing storage: closet and dresser"", ""Oven"", ""Coffee maker"", ""Paid parking on premises"", ""Air conditioning"", ""Hot water kettle"", ""Wine glasses"", ""Fire pit"", ""Paid parking off premises"", ""Smoke alarm"", ""Long term stays allowed"", ""Shower gel""]",$124.00,2,1125,1,bath,0,0
District 19,4.79,4.86,4.75,4.89,4.9,4.98,4.68,0.99,District 19,Entire home/apt,6,1 bath,2.0,4.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Single level home"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Babysitter recommendations"", ""Dryer"", ""Iron"", ""Kitchen"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Elevator"", ""Paid parking off premises"", ""Smoke alarm"", ""Long term stays allowed""]",$191.00,1,90,1,bath,0,0
District 19,4.78,4.88,4.72,4.87,4.74,4.95,4.66,0.99,District 19,Entire home/apt,6,1 bath,2.0,4.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Kitchen"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Elevator"", ""Paid parking off premises"", ""Smoke alarm"", ""Long term stays allowed""]",$191.00,1,90,1,bath,0,0
District 28,4.62,4.72,4.72,4.88,4.87,4.67,4.64,1.0,District 28,Entire home/apt,4,1 bath,1.0,1.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Freezer"", ""Outdoor dining area"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Private entrance"", ""Single level home"", ""Stove"", ""Fire extinguisher"", ""55\"" HDTV with Amazon Prime Video, Roku"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Private patio or balcony"", ""Room-darkening shades"", ""Window AC unit"", ""Dedicated workspace: desk and office chair"", ""BBQ grill"", ""Portable fans"", ""Cleaning products"", ""Kitchen"", ""Barbecue utensils"", ""Free parking on premises"", ""Portable heater"", ""Hot water"", ""Ceiling fan"", ""Dining table"", ""Outdoor furniture"", ""Dishes and silverware"", ""Toaster"", ""Oven"", ""Clothing storage: closet and dresser"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""Wine glasses"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$79.00,30,1125,1,bath,0,0
District 6,4.95,4.99,4.9,4.93,4.98,4.87,4.9,1.0,District 6,Entire home/apt,8,2 baths,3.0,3.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Single level home"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Room-darkening shades"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smart lock"", ""Smoke alarm"", ""Backyard"", ""Security cameras on property"", ""Long term stays allowed""]",$165.00,2,365,2,baths,0,0
District 24,4.91,4.89,4.94,4.89,4.91,4.85,4.84,1.0,District 24,Private room,1,1.5 baths,1.0,1.0,"[""Microwave"", ""Outlet covers"", ""Keypad"", ""Wifi"", ""Lock on bedroom door"", ""Essentials"", ""Extra pillows and blankets"", ""Indoor fireplace"", ""Hangers"", ""Refrigerator"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""EV charger"", ""Bathtub"", ""Crib"", ""Bed linens"", ""Babysitter recommendations"", ""Dryer"", ""Hair dryer"", ""Iron"", ""Luggage dropoff allowed"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Children\u2019s dinnerware"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Backyard"", ""Security cameras on property"", ""Long term stays allowed""]",$50.00,30,365,1,baths,0,1
District 34,4.77,4.91,4.86,4.96,4.91,4.94,4.77,1.0,District 34,Entire home/apt,3,1 bath,1.0,2.0,"[""Microwave"", ""Wifi"", ""Freezer"", ""Body soap"", ""Essentials"", ""Backyard"", ""Extra pillows and blankets"", ""Indoor fireplace"", ""Hangers"", ""Refrigerator"", ""Baking sheet"", ""Private entrance"", ""Lockbox"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Shared patio or balcony"", ""Room-darkening shades"", ""Keurig coffee machine"", ""Clothing storage: closet and wardrobe"", ""Portable fans"", ""Cleaning products"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Ceiling fan"", ""Dining table"", ""Outdoor furniture"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Hot water kettle"", ""Wine glasses"", ""Smoke alarm"", ""Board games"", ""Security cameras on property"", ""Long term stays allowed""]",$156.00,1,30,1,bath,0,0
District 19,4.88,4.93,4.8,4.93,4.97,4.99,4.78,0.99,District 19,Entire home/apt,6,1 bath,2.0,4.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Single level home"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Kitchen"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Elevator"", ""Paid parking off premises"", ""Smoke alarm"", ""Long term stays allowed""]",$207.00,1,90,1,bath,0,0
District 6,4.85,4.95,4.77,4.91,4.93,4.83,4.84,0.99,District 6,Entire home/apt,10,3 baths,3.0,5.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Indoor fireplace"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$320.00,2,1125,3,baths,0,0
District 17,4.95,4.94,4.96,4.96,4.97,4.94,4.85,1.0,District 17,Entire home/apt,6,1 bath,2.0,4.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Freezer"", ""Outdoor dining area"", ""Body soap"", ""Essentials"", ""Backyard"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Heating"", ""Fire extinguisher"", ""Clothing storage"", ""Free street parking"", ""Baby safety gates"", ""Game console"", ""Carbon monoxide alarm"", ""Samsung T-70 1500  sound system with Bluetooth and aux"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Babysitter recommendations"", ""Crib"", ""Private patio or balcony"", ""Keurig coffee machine"", ""Private hot tub"", ""Luggage dropoff allowed"", ""BBQ grill"", ""Children\u2019s books and toys"", ""Portable fans"", ""Pack \u2019n play/Travel crib"", ""Cleaning products"", ""First aid kit"", ""Barbecue utensils"", ""Free parking on premises"", ""Pizza Oven stainless steel oven"", ""Hot water"", ""Shampoo"", ""Dining table"", ""Outdoor furniture"", ""Laundromat nearby"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Conditioner"", ""Coffee maker"", ""Air conditioning"", ""Rice maker"", ""Piano"", ""Wine glasses"", ""Fire pit"", ""Smoke alarm"", ""Board games"", ""Security cameras on property"", ""Long term stays allowed"", ""Shower gel""]",$193.00,2,30,1,bath,0,0
District 4,4.58,4.69,4.65,4.8,4.71,4.49,4.56,1.0,District 4,Private room,6,1 shared bath,1.0,2.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Lock on bedroom door"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Heating"", ""Fire extinguisher"", ""TV"", ""Breakfast"", ""Carbon monoxide alarm"", ""Crib"", ""Hair dryer"", ""Iron"", ""Room-darkening shades"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""First aid kit"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Dedicated workspace"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""High chair"", ""Long term stays allowed""]",$90.00,2,30,1,shared,bath,1
District 18,4.96,4.95,4.94,4.98,4.99,4.96,4.9,1.0,District 18,Entire home/apt,6,1 bath,2.0,4.0,"[""Microwave"", ""Wifi"", ""Freezer"", ""Outdoor dining area"", ""Body soap"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Lockbox"", ""Private entrance"", ""Single level home"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Clothing storage: dresser and closet"", ""Free street parking"", ""TV"", ""Record player"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Free driveway parking on premises"", ""Bathtub"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Private patio or balcony"", ""Luggage dropoff allowed"", ""BBQ grill"", ""First aid kit"", ""Cleaning products"", ""Kitchen"", ""Barbecue utensils"", ""Shampoo"", ""Hot water"", ""Ceiling fan"", ""Dining table"", ""Outdoor furniture"", ""Laundromat nearby"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Conditioner"", ""Oven"", ""Game console: Nintendo Wii"", ""Coffee maker"", ""Air conditioning"", ""Rice maker"", ""Dishwasher"", ""Piano"", ""Bread maker"", ""Hot water kettle"", ""Wine glasses"", ""Fire pit"", ""Sound system with Bluetooth and aux"", ""Smoke alarm"", ""Board games"", ""Shower gel""]",$148.00,1,10,1,bath,0,0
