district,rating_score,accuracry_review,cleanliness_review,checkin_review,communication_review,location_review,value_score,host_response_rate_float,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,district,bathrooms,bath_text,other_bath,Entirehome/apt
District 37203,4.91,4.94,4.96,4.87,4.97,4.82,4.74,1.0,Entire home/apt,2,1 bath,1.0,1.0,"[""Dryer"", ""TV"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Bedroom comforts"", ""Free parking on premises"", ""Bathroom essentials"", ""Fire extinguisher"", ""Smoke alarm"", ""Heating"", ""Full kitchen"", ""Washer"", ""Hair dryer"", ""Iron""]",$96.00,1,365,District 37203,1,bath,0,0
District 37203,4.93,4.91,4.84,4.98,4.98,4.97,4.84,1.0,Entire home/apt,12,4 baths,4.0,15.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Iron"", ""Babysitter recommendations"", ""Dryer"", ""Bed linens"", ""Room-darkening shades"", ""Luggage dropoff allowed"", ""BBQ grill"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Barbecue utensils"", ""Free parking on premises"", ""Ethernet connection"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""High chair"", ""Long term stays allowed"", ""Shower gel""]",$500.00,2,182,District 37203,4,baths,0,0
District 37203,4.89,4.96,4.93,4.99,4.98,4.95,4.89,1.0,Entire home/apt,4,1 bath,1.0,2.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Pool"", ""Hair dryer"", ""Iron"", ""Dryer"", ""Room-darkening shades"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Washer"", ""Dishes and silverware"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Elevator"", ""Smoke alarm"", ""Long term stays allowed""]",$146.00,3,30,District 37203,1,bath,0,0
District 37203,4.9,4.97,4.95,4.9,4.89,4.98,4.74,1.0,Entire home/apt,2,1.5 baths,1.0,1.0,"[""Microwave"", ""Wifi"", ""Freezer"", ""Body soap"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Paid parking lot on premises"", ""Lockbox"", ""Fire extinguisher"", ""Travel size shampoo"", ""Cooking basics"", ""Cable TV"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Electric stove"", ""Kitchen"", ""Central heating"", ""Hot water"", ""Dining table"", ""Dishes and silverware"", ""Dedicated workspace"", ""Central air conditioning"", ""Oven"", ""Toaster"", ""TV with Roku, standard cable"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Wine glasses"", ""Smoke alarm"", ""Security cameras on property"", ""Paid parking lot off premises"", ""Long term stays allowed""]",$149.00,2,365,District 37203,1,baths,0,0
District 37203,4.95,4.89,4.84,4.97,4.99,4.9,4.83,1.0,Entire home/apt,12,4 baths,4.0,13.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Babysitter recommendations"", ""Dryer"", ""Iron"", ""Room-darkening shades"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Ethernet connection"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""High chair"", ""Long term stays allowed""]",$500.00,2,182,District 37203,4,baths,0,0
District 37203,4.75,4.38,4.38,4.63,4.63,4.88,4.63,0.89,Entire home/apt,12,3.5 baths,4.0,16.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Indoor fireplace"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Backyard"", ""Security cameras on property"", ""Long term stays allowed""]",$706.00,2,1125,District 37203,3,baths,0,0
District 37203,4.86,4.95,4.88,4.88,4.9,4.96,4.77,1.0,Entire home/apt,6,2 baths,2.0,3.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Lockbox"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Kitchen"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Paid parking on premises"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Paid parking off premises"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$208.00,1,365,District 37203,2,baths,0,0
District 37203,4.98,4.98,4.97,4.98,4.96,4.95,4.9,1.0,Entire home/apt,6,1 bath,1.0,3.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Cleaning before checkout"", ""Pool"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""BBQ grill"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Elevator"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$204.00,2,1125,District 37203,1,bath,0,0
District 37203,4.84,4.92,4.73,4.86,4.95,4.91,4.74,1.0,Entire home/apt,5,2 baths,2.0,3.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Freezer"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Gym"", ""Pool"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Pack \u2019n play/Travel crib"", ""Cleaning products"", ""First aid kit"", ""Kitchen"", ""Hot water"", ""Clothing storage: closet and walk-in closet"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Conditioner"", ""Oven"", ""Paid parking on premises"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Hot water kettle"", ""Wine glasses"", ""Smoke alarm"", ""Long term stays allowed"", ""Shower gel""]",$172.00,1,1125,District 37203,2,baths,0,0
District 37203,4.9,4.9,4.83,4.96,4.96,4.94,4.83,1.0,Entire home/apt,12,4 baths,4.0,13.0,"[""Microwave"", ""Wifi"", ""Pocket wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""Kitchen"", ""Free parking on premises"", ""Ethernet connection"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smart lock"", ""Smoke alarm"", ""Long term stays allowed""]",$266.00,2,112,District 37203,4,baths,0,0
District 37203,4.95,4.97,4.98,4.95,4.98,4.95,4.95,1.0,Entire home/apt,4,1 bath,1.0,2.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Pool"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Pack \u2019n play/Travel crib"", ""Kitchen"", ""Free parking on premises"", ""Ethernet connection"", ""Hot water"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Elevator"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$150.00,3,50,District 37203,1,bath,0,0
District 37203,4.65,4.7,4.55,4.75,4.92,4.85,4.61,1.0,Hotel room,2,1 private bath,1.0,1.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Freezer"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Patio or balcony"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Gym"", ""Pool"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""Cleaning products"", ""First aid kit"", ""Kitchen"", ""Hot water"", ""Clothing storage: closet and walk-in closet"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Conditioner"", ""Oven"", ""Paid parking on premises"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Hot water kettle"", ""Wine glasses"", ""Elevator"", ""Smoke alarm"", ""Long term stays allowed"", ""Shower gel""]",$117.00,1,1125,District 37203,1,private,bath,1
District 37203,5.0,5.0,4.73,5.0,5.0,5.0,5.0,0.6,Entire home/apt,3,1 bath,1.0,2.0,"[""Microwave"", ""Wifi"", ""Freezer"", ""Essentials"", ""Refrigerator"", ""Patio or balcony"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Gym"", ""Pool"", ""Bed linens"", ""Kitchen"", ""Hot water"", ""Shampoo"", ""Ceiling fan"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Wine glasses"", ""Free parking garage on premises \u2013 2 spaces"", ""Elevator"", ""Smoke alarm"", ""Long term stays allowed""]",$200.00,2,150,District 37203,1,bath,0,0
District 37203,4.86,4.95,4.84,4.96,4.91,4.91,4.84,0.99,Entire home/apt,6,2 baths,2.0,3.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Paid parking off premises"", ""Smoke alarm"", ""Smart lock"", ""Long term stays allowed"", ""Shower gel""]",$193.00,1,90,District 37203,2,baths,0,0
District 37203,4.95,4.87,4.9,4.92,4.97,4.95,4.82,1.0,Entire home/apt,12,4.5 baths,4.0,5.0,"[""Microwave"", ""Wifi"", ""Freezer"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Patio or balcony"", ""Private entrance"", ""Lockbox"", ""Heating"", ""Stove"", ""Free street parking"", ""Cooking basics"", ""Safe"", ""Private outdoor heated saltwater pool"", ""TV with standard cable"", ""Mini fridge"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Clothing storage: walk-in closet, wardrobe, closet, and dresser"", ""Dryer"", ""Iron"", ""Room-darkening shades"", ""Private hot tub"", ""Luggage dropoff allowed"", ""BBQ grill"", ""First aid kit"", ""Cleaning products"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Ceiling fan"", ""Dining table"", ""Outdoor furniture"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Hot water kettle"", ""Wine glasses"", ""Smoke alarm"", ""Long term stays allowed""]",$893.00,30,30,District 37203,4,baths,0,0
District 37203,4.79,4.77,4.87,4.85,4.9,4.56,4.69,0.9,Entire home/apt,12,5 baths,4.0,4.0,"[""Microwave"", ""Outlet covers"", ""Wifi"", ""Freezer"", ""Body soap"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Baby safety gates"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Keurig coffee machine"", ""BBQ grill"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Barbecue utensils"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Ceiling fan"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smart lock"", ""Smoke alarm"", ""Backyard"", ""Security cameras on property"", ""Long term stays allowed"", ""Shower gel""]",$497.00,3,1125,District 37203,5,baths,0,0
District 37203,4.82,4.89,4.69,4.78,4.88,4.97,4.8,1.0,Entire home/apt,5,2 baths,2.0,2.0,"[""Microwave"", ""Wifi"", ""Freezer"", ""Body soap"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Patio or balcony"", ""Fire extinguisher"", ""Travel Size shampoo"", ""TV"", ""Cooking basics"", ""Shared gym in building"", ""Carbon monoxide alarm"", ""Free parking garage on premises"", ""Bathtub"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Electric stove"", ""Luggage dropoff allowed"", ""BBQ grill"", ""First aid kit"", ""Kitchen"", ""Central heating"", ""Hot water"", ""Shared outdoor heated pool"", ""Dishes and silverware"", ""Central air conditioning"", ""Oven"", ""Toaster"", ""Coffee maker"", ""Dedicated workspace: desk"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Wine glasses"", ""Elevator"", ""Smart lock"", ""Smoke alarm"", ""Long term stays allowed""]",$206.00,2,365,District 37203,2,baths,0,0
District 37203,4.7,4.87,4.66,4.77,4.91,4.96,4.68,1.0,Hotel room,2,1 private bath,1.0,1.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Freezer"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Patio or balcony"", ""Clothing storage: walk-in closet and closet"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Gym"", ""Pool"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""Cleaning products"", ""First aid kit"", ""Kitchen"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Conditioner"", ""Oven"", ""Paid parking on premises"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Hot water kettle"", ""Wine glasses"", ""Elevator"", ""Smoke alarm"", ""Long term stays allowed"", ""Shower gel""]",$116.00,1,1125,District 37203,1,private,bath,1
District 37203,4.86,4.9,4.79,4.95,4.96,4.88,4.82,1.0,Entire home/apt,6,1 bath,1.0,3.0,"[""Shared pool"", ""Microwave"", ""Wifi"", ""Body soap"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Room-darkening shades"", ""BBQ grill"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Outdoor furniture"", ""Dishes and silverware"", ""Dedicated workspace"", ""Coffee maker"", ""Air conditioning"", ""Elevator"", ""Smart lock"", ""Smoke alarm"", ""Long term stays allowed""]",$137.00,2,1125,District 37203,1,bath,0,0
District 37203,4.81,4.69,4.73,4.73,4.65,5.0,4.77,1.0,Hotel room,6,1 private bath,1.0,5.0,"[""Dedicated workspace"", ""TV"", ""Wifi"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Air conditioning"", ""First aid kit"", ""Host greets you"", ""Essentials"", ""Elevator"", ""Hangers"", ""Smoke alarm"", ""Hot water"", ""Shampoo"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher"", ""Hair dryer"", ""Iron""]",$324.00,1,1125,District 37203,1,private,bath,1
District 37203,4.97,4.94,4.98,4.96,4.99,4.99,4.82,1.0,Entire home/apt,6,1 bath,2.0,5.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Freezer"", ""Essentials"", ""Trash compactor"", ""Extra pillows and blankets"", ""Indoor fireplace"", ""Hangers"", ""Refrigerator"", ""Baking sheet"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Cleaning before checkout"", ""Pool"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Room-darkening shades"", ""BBQ grill"", ""First aid kit"", ""Cleaning products"", ""Kitchen"", ""Barbecue utensils"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Outdoor furniture"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Wine glasses"", ""Elevator"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed"", ""Shower gel""]",$244.00,2,1125,District 37203,1,bath,0,0
District 37203,4.82,4.88,4.91,4.93,4.95,4.98,4.88,1.0,Entire home/apt,4,1.5 baths,1.0,2.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Dryer \u2013\u00a0In unit"", ""Hangers"", ""Refrigerator"", ""Patio or balcony"", ""Paid parking lot on premises"", ""Lockbox"", ""Fire extinguisher"", ""Travel size shampoo"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Cable TV"", ""Long term stays allowed"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Electric stove"", ""Kitchen"", ""Central heating"", ""Hot water"", ""Dishes and silverware"", ""Dedicated workspace"", ""Central air conditioning"", ""Oven"", ""TV with Roku, standard cable"", ""Coffee maker"", ""Dishwasher"", ""Smoke alarm"", ""Security cameras on property"", ""Paid parking lot off premises"", ""Washer \u2013\u00a0In unit""]",$142.00,2,365,District 37203,1,baths,0,0
District 37203,5.0,5.0,4.98,4.96,4.96,4.96,4.9,1.0,Entire home/apt,4,1 bath,1.0,2.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Freezer"", ""Essentials"", ""Trash compactor"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Cleaning before checkout"", ""Pool"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""BBQ grill"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Elevator"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$196.00,2,1125,District 37203,1,bath,0,0
District 37203,4.94,4.96,4.96,5.0,5.0,4.92,4.9,1.0,Entire home/apt,10,2.5 baths,3.0,8.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Breakfast"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Babysitter recommendations"", ""Dryer"", ""Iron"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$237.00,2,1125,District 37203,2,baths,0,0
District 37203,4.94,4.94,4.94,4.97,5.0,4.78,4.83,1.0,Entire home/apt,10,2.5 baths,3.0,8.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Babysitter recommendations"", ""Dryer"", ""Iron"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$237.00,2,1125,District 37203,2,baths,0,0
District 37203,4.95,4.97,4.91,4.95,4.97,4.91,4.93,1.0,Entire home/apt,10,2.5 baths,3.0,8.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Babysitter recommendations"", ""Dryer"", ""Iron"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$236.00,2,1125,District 37203,2,baths,0,0
District 37203,4.96,5.0,4.93,4.98,5.0,4.89,4.84,1.0,Entire home/apt,10,2.5 baths,3.0,8.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Babysitter recommendations"", ""Dryer"", ""Iron"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$237.00,2,1125,District 37203,2,baths,0,0
District 37203,5.0,5.0,4.86,5.0,5.0,5.0,4.86,0.99,Entire home/apt,8,2 baths,3.0,4.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Heating"", ""Fire extinguisher"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Ethernet connection"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Backyard"", ""High chair"", ""Long term stays allowed""]",$309.00,2,1125,District 37203,2,baths,0,0
District 37203,4.83,4.88,4.78,4.87,4.9,4.92,4.7,0.99,Entire home/apt,5,1 bath,1.0,3.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Paid parking off premises"", ""Smoke alarm"", ""Smart lock"", ""Long term stays allowed"", ""Shower gel""]",$165.00,1,90,District 37203,1,bath,0,0
District 37203,4.85,4.85,4.86,4.92,4.96,4.87,4.78,0.99,Entire home/apt,7,1 bath,2.0,4.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Paid parking off premises"", ""Smoke alarm"", ""Smart lock"", ""Long term stays allowed"", ""Shower gel""]",$169.00,1,90,District 37203,1,bath,0,0
